1|第一部  少时惊魂
1001|第一章  神秘的胎记|2012-09-26 09:33
1002|第二章  过阴人——周寡妇|2012-09-26 09:37
1003|第三章  父亲的请求|2012-09-26 09:39
1004|第四章  点灯问鬼（1）|2012-09-26 09:39
1005|第五章  点灯问鬼（2）|2012-09-26 09:40
1006|第六章  他是高人？|2012-09-26 09:40
1007|第七章  山中寻人|2012-09-26 09:41
1008|第八章  百鬼缠身童子命|2012-09-26 09:42
1009|第九章  百年虎爪|2012-09-26 09:55
1010|第十章  驱百鬼（1）|2012-09-26 09:57
1011|第十一章  驱百鬼（2）|2012-09-26 09:58
1012|第十二章  谁是谁二舅？|2012-09-26 09:58
1013|第十三章  超度亡魂|2012-09-26 09:59
1014|第十四章  天生道士？|2012-09-26 10:00
1015|第十五章  陌生的姜老头儿|2012-09-26 10:01
1016|第十六章  姜老头儿的告别|2012-09-26 10:01
1017|第十七章  七年以后（1）|2012-09-26 10:02
1018|第十八章  七年以后（2）|2012-09-26 10:03
1019|第十九章  荒坟群鬼（1）|2012-09-26 10:04
1020|第二十章  荒坟群鬼（2）|2012-09-26 10:04
1021|第二十一章  父母的安抚|2012-09-26 10:12
1022|第二十二章  二姐的心事|2012-09-26 10:13
1023|第二十三章  女疯子？|2012-09-26 10:13
1024|第二十四章  夜半惊魂|2012-09-26 10:14
1025|第二十五章  厉鬼上身|2012-09-26 10:14
1026|第二十六章  神秘的北京电话|2012-09-26 10:15
1027|第二十七章  他回来了（1）|2012-09-26 10:16
1028|第二十八章  他回来了（2）|2012-09-26 10:16
1029|第二十九章  锁魂结|2012-09-26 10:17
1030|第三十章  正面相斗|2012-09-26 10:18
1031|第三十一章  认了师父|2012-09-26 10:22
1032|第三十二章  引魂灯|2012-09-26 10:23
1033|第三十三章  聚阴地|2012-09-26 10:24
1034|第三十四章  那一世情牵（1）|2012-09-26 10:25
1035|第三十五章  那一世情牵（2）|2012-09-26 10:25
1036|第三十六章  前往小镇|2012-09-26 10:26
1037|第三十七章  普通小院儿？|2012-09-26 10:27
1038|第三十八章  替身娃娃|2012-09-26 10:28
1039|第三十九章  魂飞魄散|2012-09-26 10:28
1040|第四十章  喊魂（1）|2012-09-26 10:29
1041|第四十一章  喊魂（2）|2012-09-26 10:30
1042|第四十二章  魂魄归位|2012-09-26 10:30
1043|第四十三章  挖出来的蛇群|2012-09-26 10:31
1044|第四十四章  竹林中的群蛇|2012-09-26 10:31
1045|第四十五章  驱蛇人|2012-09-26 10:31
1046|第四十六章  蛇灵（1）|2012-09-26 10:32
1047|第四十七章  蛇灵（2）|2012-09-26 10:32
1048|第四十八章  蛇灵（3）|2012-09-26 10:33
